KEY|CATEGORY|VALUE
fwr_001|LIST_SOURCE|Tax delinquency lists available free from government websites (city enforcement portals)
fwr_002|LIST_SOURCE|Code violation lists available free from city government enforcement portals
fwr_003|TOOL|XLeads: all-in-one platform - skip trace, triple-line dialer, CRM, texting, comping, e-sign - ~$97-110/month
fwr_004|KPI|High equity list conversion rate: ~10,000 calls per deal
fwr_005|KPI|Code violation list conversion rate: ~600 calls per deal (much better ROI than high equity)
fwr_006|TOOL|Triple-line dialer (XLeads): increases call volume significantly vs single-line
fwr_007|TACTIC|Local presence masking: use local area codes when cold calling to increase answer rates
fwr_008|WORKFLOW|Indianapolis code violations pulled live in ~15 minutes from city enforcement portal
fwr_009|LIST_SOURCE|Government lists = tax delinquency + code violations (both free, pull directly from city sites)
fwr_010|STRATEGY|Land wholesaling: demand-first approach - find markets with buyer demand before targeting land sellers
fwr_011|MARKET_RESEARCH|Use US Census permit data + ChatGPT to identify single-family build markets per capita
fwr_012|MARKET|Top 2025-26 land markets: Wilmington NC, Sarasota FL, Spartanburg SC
fwr_013|TACTIC|Call homebuilder acquisitions departments to get their buy box before targeting land sellers
fwr_014|LIST_SOURCE|Best land list: tax delinquent landowners
fwr_015|OFFER|Land offer: 30-40% of value, 45-day inspection period standard
fwr_016|KPI|Land wholesaling target: 100-300 contacts/day, 1 deal/month = $20-30k profit
fwr_017|LAND_TYPE|Infill lots = best type for land wholesaling (builders actively want them)
fwr_018|MINDSET|Confidence + speed + consistency beats scripts in cold calling
fwr_019|RAPPORT|FORD method: Family, Occupation, Recreation, Dreams - use for seller rapport building
fwr_020|NEGOTIATION|Good cop/bad cop framework: wholesaler = good cop, "partner Rick" = bad cop for lowball offers
fwr_021|KPI|VA cold caller benchmark: 2 appointments/month = performing well
fwr_022|TACTIC|Driving for dollars + sticky notes on doors = low-cost motivated seller lead source
fwr_023|MARKETING|Email blasting 1,000/day generates inbound leads (preferred over cold calling for volume)
fwr_024|STRATEGY|Probate leads: do NOT push - give time and space, they will come back when ready
fwr_025|SCRIPT|FSBO opening: "Other than price, why are you selling?" - bypasses price objection, gets to motivation
fwr_026|TACTIC|Short voicemail = 2x callbacks: "Hey this is Zach, please give me a call back" - NO mention of buying
fwr_027|NEGOTIATION|Never justify low offers - just present them and let silence work
fwr_028|MARKET|Stay under median home price when targeting - easier to sell assignments to cash buyers
fwr_029|LEGAL|NAR antitrust ruling: $1.78 billion damages - disrupting traditional real estate commissions
fwr_030|STRATEGY|Creative finance pitch on phone: lease option, subject-to, owner financing all work as alternatives
fwr_031|TACTIC|Multi-decision maker strategy: get ALL heirs on phone simultaneously before making offer
fwr_032|MARKET|Kentucky: avoid rural areas, focus on outskirts of metro areas for wholesaling
fwr_033|CREATIVE_FINANCE|Lease option math: 30-year amortization, balloon in 5-7 years, rent-to-own buyer provides down payment
fwr_034|MARKETING|Email blasting preferred over cold calling for generating inbound leads at scale
fwr_035|CREATIVE_FINANCE|Divorce deals: creative finance rarely works - sellers usually need cash out immediately
fwr_036|SCHEDULE|3 hrs/day cold calling government lists Mon-Thu = $20-30k/month income
fwr_037|LEGAL|DNC objection script: "I'm not soliciting. I'm looking to give you money to buy your house."
fwr_038|LEGAL|Coffee v. Fast Easy Offer (9th Circuit Federal Court): buying activity = NOT telephone solicitation under TCPA
fwr_039|LEGAL|SMS to sellers also protected under Coffee v. Fast Easy Offer ruling (9th Circuit)
fwr_040|LEGAL|Real estate agents calling to buy also protected under 9th Circuit ruling - broad protection
fwr_041|TOOL|iOS 26 AI call screening workaround: say "Hey this is Zach, your neighbor, I had a quick question"
fwr_042|TOOL|XLeads pricing: ~$97-110/month vs $260+ for separate tools (skip trace + dialer + CRM + SMS)
fwr_043|TOOL|A2P SMS approval: use XLeads Ninja Mode 11-min video walkthrough
fwr_044|LEGAL|Missouri SB 973: double close avoids disclosure law requirement for wholesalers
fwr_045|NEGOTIATION|Lowball offer strategy: If MAO=$300k, offer $200k not $250k. Seller counters lower, meet in middle at $250k = $50k spread
fwr_046|STRATEGY|Short sales: need control of BOTH homeowner AND realtor for deal to succeed
fwr_047|PROBATE|Multi-heir probate: win over non-executor sibling first - they'll help get executor to accept deal
fwr_048|BUYER_LIST|Build cash buyer list WHILE cold calling FSBOs - flippers become future buyers for deals
fwr_049|LIST_SOURCE|Old/expired listings = most motivated sellers (been on market longest, price reduced)
fwr_050|NEGOTIATION|Anchoring effect: seller's counter after lowball is lower than if you offered higher first
fwr_051|MINDSET|Cold calling sucks - that's exactly WHY it works: most people won't do it, reducing competition
fwr_052|LEGAL|PPL (pay-per-lead) effectively banned by FCC one-to-one consent rule (Jan 2025): lead buyer must be the one who produced the opt-in
fwr_053|STRATEGY|3-channel pipeline: cold call → SMS winners → direct mail the best of best = massive ROI
fwr_054|TACTIC|Double tap system: text lead FIRST ("I'm calling about your house"), then call 30 seconds later - gets "maybe Zach" shown on caller ID instead of unknown number
fwr_055|TACTIC|Call the same lead twice - second call signals importance ("must be something important")
fwr_056|SCRIPT|Opening script: "Hey, are you the owner of [address]? Are you interested in selling?" - nothing else needed
