SCANNED TRANSCRIPT MANIFEST
============================================================
FORMAT: filename | source | [categories] | summary
============================================================
2026-05-25_How_To_Increase_Your_Monthly_Recurring_Revenue_(MRR).txt | dan_martell | [A+B+C+D] | Bot-scanned 2026-05-26: MRR pricing strategies
2026-05-25_$100M_CEO_Explains_Money_Habits_Keeping_You_Broke.txt | dan_martell | [A+B+C+D] | Daily financial discipline and selective advisory relationships are the two highest-leverage money habits; wealth is built by solving real problems for real money, then automating those businesses to escape time-for-money trading.
2026-05-25_10_Simple_Laws_That_Will_Make_You_Rich.txt | dan_martell | [B+C+D] | Wealth scales through three models—time, leveraged time, and capital—with preselling and customer selectivity as the gatekeepers to each level; apply this to new business validation through ODIN.
2026-05-25_12_Hacks_to_Be_99.9%_More_Productive_That_Cost_Nothing.txt | dan_martell | [A+B+C+D] | Productivity isn't about working harder—it's about eliminating friction (hotkeys, automation), saying no to draining tasks (90/10 rule), and building accountability loops. Apply this to ODIN's architecture (automate everything), business ops (delegate the 90%), and new ventures (validate with collaborators, not solo).
2026-05-25_12_Hacks_To_Work_With_Your_Assistant.txt | dan_martell | [A+B+D] | Delegate your inbox and calendar 100% using a 3-folder system and daily sync ritual, turning your email into automated training data that lets you scale to multiple businesses without becoming a bottleneck.
2026-05-25_13_Hacks_to_be_99.9%_More_Disciplined_That_Cost_Nothing.txt | dan_martell | [A+B+C+D] | Discipline is engineered through environment design (notifications off, bedtime enforced, deep work protected) and intentional input curation (books, curated feeds) not willpower—and success compounds when every repeatable task is systematized and delegated.
2026-05-25_13_Simple_Rules_of_Business_That_Will_Make_You_Rich.txt | dan_martell | [A+B+C+D] | Simple, focused business systems with one clear offer per spoke, validated by early payment and strengthened by over-delivering, compound wealth through leverage and abundance thinking — exactly the thesis ODIN is built on.
2026-05-25_13_Simple_Rules_of_Business_That_Will_Make_You_Rich.txt | dan_martell | [A+B+C+D] | Wealth comes from charging early to validate demand, keeping systems simple to scale, giving generously to attract opportunity, delivering on commitments reliably, and investing relentlessly in personal development — creating 10x value to capture 10% income growth.
2026-05-25_15_AI_Tools_That_Will_Make_You_$1M_(With_Zero_Employees).txt | dan_martell | [A+B+C+D] | Use Fathom, Zapier, Gum Loop, and Cursor to automate business delivery chains completely—form to billing—so you shift from executor to director orchestrating workflows across a portfolio of AI-powered solo businesses.
